               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12063,            0.029226,                   0,           0.0040594,             0.27692,           0.0033935,           0.0006331,              0.1047,            0.018909,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.097936,            0.025755,                   0,             0.01595,             0.47692,            0.019985,           0.0038795,            0.079694,            0.016016,                   0,            0.084697,           0.0016966,           0.0016966
                   2,            0.082205,            0.024022,                   0,            0.054829,             0.43077,            0.098777,            0.023785,            0.066337,             0.01474,                   0,             0.07659,           0.0025897,           0.0025897
                   3,            0.071081,            0.022066,                   0,              0.1407,             0.32308,             0.12037,            0.028914,            0.065594,            0.013615,                   0,            0.068479,           0.0034792,           0.0034792
                   4,            0.063271,            0.021457,                   0,             0.23657,             0.43077,             0.23172,            0.052161,            0.064192,             0.01176,                   0,            0.060365,           0.0043652,           0.0043652
                   5,            0.055904,            0.020329,                   0,             0.46106,             0.64615,             0.42829,               0.149,            0.057335,            0.010942,                   0,            0.052248,           0.0052475,           0.0052475
                   6,            0.051407,            0.018783,                   0,               0.421,             0.64615,             0.52721,             0.22764,            0.053061,           0.0097246,                   0,            0.044126,           0.0061263,           0.0061263
                   7,            0.050332,            0.018442,                   0,             0.62584,             0.66154,             0.60458,             0.31581,            0.044709,           0.0091448,                   0,            0.036002,           0.0070016,           0.0070016
                   8,            0.047723,            0.015931,                   0,             0.61692,             0.63077,             0.70445,              0.3567,            0.043851,           0.0090599,                   0,            0.027873,           0.0078733,           0.0078733
                   9,            0.046869,            0.014751,                   0,             0.74744,              0.6375,             0.79297,              0.4088,            0.038416,           0.0096493,                   0,            0.019741,           0.0087414,           0.0087414
                  10,            0.043888,            0.013639,                   0,             0.58478,             0.84615,             0.66598,             0.33209,            0.039703,           0.0089808,                   0,            0.011606,            0.009606,            0.009606
                  11,            0.042715,            0.012643,                   0,             0.78605,             0.81538,             0.81085,             0.44906,             0.03909,            0.011238,                   0,           0.0097822,           0.0097822,           0.0097822
                  12,            0.039646,            0.011868,                   0,             0.79356,             0.72308,             0.81359,              0.4183,            0.040507,            0.011456,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.038806,            0.010499,                   0,             0.86379,             0.87812,              0.9004,             0.55312,            0.035545,           0.0073557,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.036262,            0.010379,                   0,             0.89201,             0.89231,             0.94633,             0.50506,              0.0361,           0.0070295,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.035066,           0.0092455,                   0,             0.90961,             0.92897,             0.97739,             0.57528,            0.032731,           0.0066104,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.034864,           0.0098172,                   0,             0.85418,             0.92308,             0.94971,             0.58103,            0.031909,           0.0064926,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.034082,           0.0088786,                   0,             0.98252,             0.95385,              0.9619,              0.4881,            0.031566,           0.0052295,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.033139,           0.0091977,                   0,              0.9711,             0.96923,             0.98928,               0.634,            0.027788,           0.0051966,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.031294,           0.0089256,                   0,               0.966,             0.87433,             0.95411,             0.64145,            0.027227,           0.0077667,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,             0.03236,           0.0089398,                   0,             0.88939,             0.93846,             0.94589,             0.60691,            0.028481,           0.0068169,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.031698,           0.0086023,                   0,             0.94469,             0.89231,             0.95438,             0.66061,            0.027701,           0.0059142,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.029812,           0.0087066,                   0,             0.98885,             0.89231,             0.96625,             0.62957,            0.026784,           0.0058994,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.029919,           0.0083242,                   0,             0.96324,             0.93846,             0.96364,             0.60266,            0.029676,            0.005177,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.029131,           0.0080325,                   0,             0.95207,             0.91681,             0.96241,             0.61745,            0.029472,           0.0057192,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.029566,           0.0081942,                   0,             0.98346,             0.91502,             0.97966,             0.62749,            0.027074,           0.0053124,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.029493,           0.0079339,                   0,             0.98378,             0.93344,             0.97812,             0.63429,            0.028748,           0.0055914,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.027566,           0.0077773,                   0,             0.98122,             0.90769,              0.9604,             0.61832,            0.028529,           0.0062404,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.027347,           0.0080169,                   0,             0.98372,             0.96923,             0.99222,             0.64055,            0.028226,           0.0048842,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.027134,           0.0080231,                   0,             0.98772,             0.96923,             0.99089,             0.67281,            0.025857,           0.0046921,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.025502,           0.0073851,                   0,             0.98204,             0.96923,             0.98844,             0.67828,            0.025654,           0.0047798,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,             0.02799,           0.0077451,                   0,             0.99768,             0.98462,             0.99367,             0.66662,            0.024425,            0.004631,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.026578,           0.0079423,                   0,                   1,             0.96805,             0.98633,             0.59927,            0.030613,           0.0048728,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.026328,           0.0079154,                   0,             0.98429,             0.96368,             0.98188,             0.66101,             0.02732,           0.0051785,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.025511,           0.0075254,                   0,             0.95977,             0.95385,             0.97809,              0.6447,            0.025922,           0.0057535,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.024211,           0.0072006,                   0,             0.98272,             0.98462,             0.98507,              0.6594,            0.025687,           0.0048628,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.025372,           0.0073059,                   0,                   1,             0.98323,             0.98882,             0.68979,            0.023557,           0.0045238,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.024253,           0.0075014,                   0,             0.99941,             0.93846,             0.98359,             0.65503,            0.025051,           0.0047817,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.024383,           0.0072355,                   0,             0.98724,             0.92308,             0.96717,             0.64019,            0.025277,           0.0051956,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.025668,           0.0078841,                   0,             0.98322,             0.96923,             0.98516,             0.67671,            0.025363,           0.0047851,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.023756,           0.0070222,                   0,             0.99886,             0.98462,              0.9906,             0.70415,            0.023331,            0.004302,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.024198,           0.0074073,                   0,             0.99886,             0.98462,             0.98904,             0.69972,            0.024823,           0.0042887,                   0,            0.009208,            0.009208,            0.009208
                  42,             0.02386,           0.0073027,                   0,             0.99761,             0.98462,             0.98641,             0.70576,            0.024426,           0.0045118,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.024997,           0.0077047,                   0,             0.99732,             0.98462,             0.98564,             0.64689,            0.026034,           0.0044355,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.024787,           0.0074255,                   0,             0.99649,             0.98462,             0.98732,             0.70409,            0.022479,            0.004252,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.024127,           0.0070517,                   0,             0.98405,             0.98462,             0.98784,              0.7158,            0.022609,           0.0042772,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,             0.02266,           0.0067419,                   0,             0.93184,             0.96923,              0.9694,             0.65165,             0.02499,           0.0048766,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.024117,           0.0071593,                   0,             0.98438,             0.96964,             0.99019,             0.68156,            0.024119,            0.004364,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,             0.02383,           0.0066731,                   0,              0.9451,             0.86154,             0.89994,             0.60014,            0.027885,           0.0063901,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.023088,           0.0073219,                   0,             0.98382,             0.96923,             0.98471,                0.62,            0.027673,           0.0046763,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.022861,           0.0068162,                   0,             0.92413,             0.93693,             0.95663,             0.65454,            0.026131,           0.0053506,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.021246,           0.0061619,                   0,                   1,             0.98376,             0.98948,             0.70297,            0.023899,           0.0043755,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.022192,           0.0065882,                   0,             0.98275,             0.96923,             0.96758,             0.67002,            0.024846,           0.0045919,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.021122,           0.0067742,                   0,             0.99888,             0.98462,             0.98985,             0.70341,            0.024467,           0.0046492,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.023032,            0.006872,                   0,             0.99799,             0.98462,             0.99125,             0.66957,            0.025624,           0.0044351,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.022676,           0.0069572,                   0,             0.99884,             0.98462,             0.99096,             0.68261,            0.024029,           0.0043273,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.021794,           0.0064623,                   0,             0.99882,             0.98462,             0.99033,             0.70282,            0.023475,           0.0042772,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.022827,           0.0072143,                   0,             0.98587,             0.96923,             0.98484,             0.67263,             0.02614,           0.0045843,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.021368,           0.0068047,                   0,             0.98379,             0.98462,             0.98585,             0.70224,            0.024478,           0.0042381,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.021449,           0.0067554,                   0,             0.99872,             0.98462,             0.98793,             0.68412,            0.024239,           0.0042276,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.021284,           0.0066901,                   0,             0.99878,             0.98462,             0.98892,             0.73474,            0.023353,           0.0041957,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.021539,           0.0066936,                   0,             0.98412,             0.95337,             0.96504,              0.6423,            0.028473,           0.0047359,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.022522,           0.0067989,                   0,             0.99779,             0.98462,             0.98964,             0.73255,            0.023358,           0.0040765,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.021162,           0.0066007,                   0,             0.99761,             0.98462,             0.99008,             0.71382,            0.022682,           0.0041537,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.020567,           0.0061533,                   0,             0.99799,             0.98462,             0.99113,             0.72085,            0.023071,           0.0040731,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.021097,           0.0066108,                   0,             0.99793,             0.98462,             0.98887,             0.71753,            0.023378,           0.0039973,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.022332,           0.0067532,                   0,             0.98146,             0.98462,             0.98597,             0.71904,            0.023451,           0.0040612,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.020643,           0.0065899,                   0,             0.99975,             0.98462,             0.98795,             0.73666,            0.023084,           0.0038452,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.020902,           0.0067771,                   0,             0.98093,             0.98462,             0.98745,             0.71605,            0.023623,           0.0041981,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.020396,           0.0065197,                   0,                   1,             0.98337,             0.98689,             0.70597,            0.024287,           0.0041738,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.019785,           0.0062588,                   0,             0.99813,             0.98462,             0.98563,              0.7075,            0.023494,           0.0040827,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.020799,           0.0061489,                   0,                   1,             0.98449,             0.98606,             0.69451,            0.024443,           0.0044141,                   0,            0.008614,            0.008614,            0.008614
                  72,             0.01974,           0.0063161,                   0,             0.99855,             0.98462,             0.98974,             0.73748,            0.021457,           0.0038247,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.020381,           0.0063864,                   0,              0.9988,             0.98462,             0.99119,             0.72591,            0.023271,           0.0038271,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.021577,           0.0061746,                   0,             0.99957,             0.98462,             0.99056,             0.72347,            0.023981,           0.0041375,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.020852,           0.0063857,                   0,             0.99935,             0.98462,             0.99485,             0.71759,              0.0239,           0.0040245,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.020115,           0.0060778,                   0,                   1,             0.99855,               0.995,             0.72447,            0.022561,            0.003742,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.020508,           0.0065698,                   0,                   1,             0.99897,               0.995,             0.68187,            0.025274,           0.0041013,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.020995,           0.0065802,                   0,             0.99856,             0.98462,             0.98951,              0.7176,            0.023593,           0.0040069,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.021709,           0.0063762,                   0,             0.99874,             0.98462,             0.99163,             0.73448,            0.023848,           0.0040336,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.020577,           0.0064375,                   0,             0.99894,             0.98462,             0.99323,             0.70451,            0.023842,           0.0041986,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.020175,           0.0057426,                   0,             0.99856,             0.98462,              0.9939,             0.70077,            0.024374,           0.0039887,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.019863,           0.0064659,                   0,             0.99973,             0.98462,             0.99274,              0.7224,            0.023278,           0.0038629,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.020553,           0.0066533,                   0,                   1,             0.98276,             0.99042,             0.72637,            0.023939,           0.0041456,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.019728,           0.0060839,                   0,             0.99879,             0.98462,             0.98996,             0.69539,            0.025585,           0.0041895,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.019944,           0.0060991,                   0,             0.99903,             0.98462,             0.99086,             0.72508,            0.023255,           0.0038242,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.019791,            0.005861,                   0,             0.99906,             0.98462,              0.9947,             0.71243,            0.024152,           0.0040603,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.019544,           0.0061351,                   0,             0.99908,             0.98462,             0.99378,             0.73076,            0.023515,           0.0038128,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.019378,           0.0060266,                   0,             0.99987,             0.98462,             0.98688,             0.70743,            0.023959,           0.0039806,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.019533,           0.0059732,                   0,             0.99898,             0.98462,             0.98575,             0.69973,            0.024193,           0.0039382,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.019771,           0.0064241,                   0,             0.99713,             0.98462,             0.98961,             0.71873,            0.023741,           0.0041018,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.019149,           0.0058078,                   0,                   1,              0.9837,             0.98911,             0.68679,            0.023901,           0.0045495,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.019297,           0.0063386,                   0,             0.99885,             0.98462,             0.99024,             0.69459,             0.02396,           0.0043154,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.019514,           0.0061327,                   0,             0.99888,             0.98462,             0.99256,             0.70998,            0.023119,           0.0042262,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.019879,           0.0064251,                   0,             0.99877,             0.98462,             0.99442,             0.71215,            0.023907,           0.0042715,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.019754,           0.0058649,                   0,             0.99886,             0.98462,             0.99033,             0.71899,            0.023302,           0.0044069,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,             0.01884,           0.0057738,                   0,             0.99879,             0.98462,              0.9915,              0.7234,            0.022605,            0.004179,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.018431,           0.0056378,                   0,             0.99812,             0.98462,             0.99046,             0.71752,            0.023626,           0.0044179,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,             0.01882,           0.0064678,                   0,             0.99866,             0.98462,             0.99004,              0.7258,            0.023402,           0.0041037,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,             0.01939,           0.0061058,                   0,             0.99847,             0.98462,             0.99456,             0.73437,            0.023354,           0.0040922,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.018528,           0.0058172,                   0,             0.99869,             0.98462,             0.99485,             0.72456,            0.022876,           0.0041628,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.018534,           0.0062358,                   0,             0.99753,             0.98462,             0.99131,             0.71878,            0.023711,            0.003922,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.019009,           0.0062758,                   0,             0.98446,             0.98462,              0.9939,             0.69621,            0.024233,           0.0039949,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.018587,           0.0058067,                   0,             0.99716,             0.98462,              0.9947,             0.73134,            0.023292,           0.0038733,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.018847,           0.0059481,                   0,                   1,              0.9989,               0.995,             0.72218,            0.024326,            0.003665,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.018636,           0.0058363,                   0,             0.99893,             0.98462,              0.9917,             0.71983,            0.024059,            0.003881,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.018892,           0.0060286,                   0,             0.99908,             0.98462,             0.99429,             0.71375,            0.024231,           0.0040178,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.019472,           0.0063293,                   0,             0.99908,             0.98462,              0.9939,             0.72287,            0.023346,           0.0039124,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.018086,           0.0058545,                   0,             0.99902,             0.98462,              0.9947,             0.73991,            0.022769,           0.0039115,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.018664,           0.0057102,                   0,             0.99973,             0.98462,             0.98911,              0.7021,            0.024513,           0.0041823,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.018438,           0.0058041,                   0,             0.99838,             0.98462,              0.9947,             0.72063,            0.023516,           0.0039947,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.018671,           0.0062202,                   0,                   1,             0.99939,               0.995,             0.69082,            0.023971,           0.0040259,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.017955,           0.0056645,                   0,                   1,             0.99869,               0.995,             0.70833,            0.023747,           0.0040774,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.018141,           0.0056664,                   0,             0.99888,             0.98462,             0.99485,             0.71213,            0.023402,           0.0041037,                   0,           0.0077824,           0.0077824,           0.0077824
